ID,Name,Sheltered,Ramps,Electric,Directional
1,Suntec City,1,1,0,1
2,Marina Square,1,1,0,1
3,Raffles City,1,1,0,1
4,Esplanade,1,1,1,1
5,Millenia Singapore,1,1,0,1
6,Singapore Flyer,1,1,0,1
16,VivoCity P3,1,1,0,1
17,Sentosa,1,1,0,1
19,Harbourfront Centre,1,1,0,1
50,VivoCity P2,1,1,0,1
20,Far East Plaza,1,1,0,1
18,Tang Plaza,1,1,0,1
15,Wheelock Place,1,1,0,1
13,Ngee Ann City,1,1,1,1
12,Hilton Orchard,1,1,0,1
11,Cineleisure,1,1,0,1
21,Centrepoint,1,1,0,1
24,313@Somerset,1,1,0,1
7,Orchard Point,1,1,0,1
22,Concorde Hotel,1,1,0,1
9,Plaza Singapura,1,1,0,1
10,The Cathay,1,1,0,1
23,ION Orchard,1,1,0,1
14,Wisma Atria,1,1,0,1
8,The Heeren,1,1,0,1
26,Resorts World,1,1,0,1
27,Orchard Central,1,1,0,1
43,Westgate,1,1,0,1
52,Orchard Gateway,1,1,1,1
53,IMM Building,1,1,0,1
57,The Atrium@Orchard,1,1,0,1
58,Bt Panjang Plaza,1,1,0,1
59,CQ @ Clarke Quay,1,1,0,1
61,Bugis+,1,1,0,1
62,Lot One,1,1,0,1
63,Tampines Mall,1,1,0,1
64,Junction 8,1,1,0,1
65,Bedok Mall,1,1,0,1
66,Funan Mall,1,1,0,1
A0007,ANGULLIA PARK OFF STREET,0,0,0,0
A0007,ANGULLIA PARK OFF STREET,0,0,0,0
A0011,ARMENIAN STREET OFF STREET,0,0,0,0
A0017,ARAB STREET - QUEEN STREET OFF STREET,0,0,0,0
A0017,ARAB STREET - QUEEN STREET OFF STREET,0,0,0,0
A0021,AMOY STREET OFF STREET,0,0,0,0
A0024,ADAM ROAD FOOD CENTRE OFF STREET,0,0,0,0
A0035,ANTHONY ROAD OFF STREET,0,0,0,0
A0046,ALJUNIED ROAD OFF STREET,0,0,0,0
B0031,BEATTY ROAD OFF STREET,0,0,0,0
B0063,BUKIT BATOK NATURE PARK OFF STREET,0,0,0,0
B0063,BUKIT BATOK NATURE PARK OFF STREET,0,0,0,0
B0087,BAGHDAD STREET OFF STREET,0,0,0,0
B0087,BAGHDAD STREET OFF STREET,0,0,0,0
B0088,BEDOK ROAD FOOD CENTRE OFF STREET,0,0,0,0
B0088,BEDOK ROAD FOOD CENTRE OFF STREET,0,0,0,0
C0119,CEYLON ROAD OFF STREET,0,0,0,0
C0133,CARPENTER STREET OFF STREET,0,0,0,0
C0133,CARPENTER STREET OFF STREET,0,0,0,0
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),0,0,0,1
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),0,0,0,1
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),0,0,0,1
C0162,CLEMENCEAU AVENUE OFF STREET,0,0,0,0
C0162,CLEMENCEAU AVENUE OFF STREET,0,0,0,0
D0006,DUXTON HILL OFF STREET,0,0,0,0
D0026,DICKSON ROAD OFF STREET,0,0,0,0
D0026,DICKSON ROAD OFF STREET,0,0,0,0
D0028,DELTA CIRCUS FRINGE CAR PARK,0,0,0,1
D0028,DELTA CIRCUS FRINGE CAR PARK,0,0,0,1
D0030,42 DEFU LANE 7 HVP,0,0,0,0
E0023,EAST COAST PARK E3 OFF STREET,0,0,0,0
E0023,EAST COAST PARK E3 OFF STREET,0,0,0,0
E0024,EAST COAST PARK E2 OFF STREET,0,0,0,0
E0024,EAST COAST PARK E2 OFF STREET,0,0,0,0
E0027,EAST COAST PARK E1 OFF STREET,0,0,0,0
E0027,EAST COAST PARK E1 OFF STREET,0,0,0,0
H0003,HAMILTON ROAD OFF STREET,0,0,0,0
H0015,HINDOO ROAD OFF STREET,0,0,0,0
H0022,HULLET ROAD OFF STREET,0,0,0,0
H0024,HONG LIM PARK OFF STREET,0,0,0,0
H0057,HINDOO ROAD-KAMPONG KA POR ROAD OFF STREET,0,0,0,0
J0017,JOO CHIAT ROAD OFF STREET,0,0,0,0
J0017,JOO CHIAT ROAD OFF STREET,0,0,0,0
J0054,JALAN BESAR - BEATTY ROAD OFF STREET,0,0,0,0
J0054,JALAN BESAR - BEATTY ROAD OFF STREET,0,0,0,0
J0055,JALAN SEH CHUAN OFF STREET,0,0,0,0
J0092,JALAN KURAS OFF STREET,0,0,0,0
J0092,JALAN KURAS OFF STREET,0,0,0,0
J0100,JALAN PELEPAH OFF STREET,0,0,0,0
J0100,JALAN PELEPAH OFF STREET,0,0,0,0
J0122,JALAN KAYU OFF STREET,0,0,0,0
J0122,JALAN KAYU OFF STREET,0,0,0,0
K0037,KING GEORGES AVENUE OFF STREET,0,0,0,0
K0039,KING GEORGES AVENUE- HORNE ROAD OFF STREET,0,0,0,0
K0082,KAMPONG BUGIS OFF STRE ET,0,0,0,0
K0082,KAMPONG BUGIS OFF STRE ET,0,0,0,0
K0111,KINTA ROAD OFF STREET,0,0,0,0
K0111,KINTA ROAD OFF STREET,0,0,0,0
K0121,KAMPONG KAPOR ROAD OFF STREET,0,0,0,0
K0121,KAMPONG KAPOR ROAD OFF STREET,0,0,0,0
L0064,LORONG 21 GEYLANG OFF STREET,0,0,0,0
L0064,LORONG 21 GEYLANG OFF STREET,0,0,0,0
L0078,LORONG MYDIN OFF STREET,0,0,0,0
L0078,LORONG MYDIN OFF STREET,0,0,0,0
L0104,LORONG BEKUKONG OFF STREET,0,0,0,0
